Entry,SumWeight,FitScore,AS,PS,Role
O94925,0.4621734229014591,0.2822804608846754,-0.1596693950337585,-0.6363667969309206,0
P02652,0.6081148014044165,-0.500258816321567,-0.013728016530801024,0.10487730032138198,1
P04179,0.5382845679484121,0.4619073832227301,-0.0835582499868055,0.6235143542357926,1
P12956,0.6246620774811774,0.563267638911708,0.0028192595459598513,-0.0014436761271976462,2
P18859,0.6045366674400393,0.3569734955433179,-0.017306150495178252,0.0004601576930970408,1
P21281,0.6871943352533403,0.4424907409945184,0.06535151731812272,-0.5467162982777191,2
P26022,0.6399247205840308,0.4519955782573204,0.018081902648813264,0.4228406981133801,3
P26447,0.5150933436368396,-0.2101592670414619,-0.106749474298378,-0.19375888643794015,0
P40926,0.6993818099099005,0.3078520046163882,0.07753899197468295,-0.6295128246273862,2
P42765,0.4821709809523542,0.3527876596209401,-0.13967183698286334,0.5490231565475983,1
P56192,0.5479189962947904,0.6049599065972137,-0.07392382164042721,-0.41864021028298126,0
P61981,0.6133850392973382,0.0459899567359175,-0.008457778637879332,-0.4347641141682944,0
P62854,0.4941593749012301,0.4747089881430383,-0.1276834430339875,-0.0013804730792913444,0
P62917,0.5932761873269563,0.0123339663713997,-0.028566630608261256,-0.5842505418576973,0
Q02818,0.549116015846744,-0.346232357260987,-0.0727268020884736,-0.39002862894212487,0
Q07065,0.5998678133750688,-0.0254357054587105,-0.02197500456014878,-0.03789245871397595,0
Q07866,0.5210098903582058,0.4593201597552385,-0.10083292757701179,-0.4392531811461604,0
Q07954,0.5294480599351772,-0.4137167353658552,-0.09239475800004038,-0.024402121478221073,0
Q13162,0.4724714435781901,-0.1214418770563569,-0.1493713743570274,-0.28847391884979856,0
Q14011,0.4956478595175624,-0.3673060553054212,-0.12619495841765516,-0.46701270534183825,0
Q15459,0.4667821829904566,0.3019011265915113,-0.15506063494476097,-0.5245456597182474,0
Q15843,0.6508216645779149,-0.0548727784308076,0.028978846642697342,0.17500088631264898,3
Q9H0U4,0.6581977767917447,0.6383233253083592,0.036354958856527175,0.040822848106450094,3
Q9UHD8,0.5669525894670729,-0.0321403736396178,-0.05489022846814462,-0.3170346763139045,0
Q9UJZ1,0.658053413142261,-0.0691412010393954,0.036210595207043395,-0.1064430337023532,2
Q9UNH7,0.5798187119467779,0.3073747765980533,-0.04202410598843964,-0.17499118280229975,0
