Unnamed: 0,Regulator,Target,Weight
879,P62854,Q86UP2,0.2619736120103467
594,P31949,Q3SX28,0.1980311594620305
1676,Q8IVL6,Q3SX28,0.1469896758391804
1337,Q14011,P67936,0.1433010858358601
585,P31949,P80723,0.1419633211786717
1954,Q9HBL0,Q07954,0.1233561111002975
597,P31949,Q86UP2,0.11713038967172
418,P14174,Q9UHB9,0.115343087973015
1666,Q8IVL6,P67936,0.115077136981427
1338,Q14011,P80723,0.1143493071669911
1346,Q14011,Q3SX28,0.1123310686197745
1657,Q8IVL6,P31949,0.1106726499213947
387,P14174,P31949,0.1095178135989497
1979,Q9UBR2,P05787,0.1031910504020804
1932,Q9HBL0,P05787,0.0897283533508902
2055,Q9UHB9,Q86UP2,0.0883324704631252
901,P63208,P14174,0.0835701157191537
850,P62854,P05556,0.0827055201721082
1642,Q86UP2,Q9UMX0,0.0814394560919091
360,P13667,Q6NZI2,0.0767649398504505
