Entry,AS,PS,Role
ITGB1,7.491784398626045,4.927530612867222,2
KRT8,8.001078654196089,5.769015107043941,2
MYL1,5.7841137438376125,6.448546303903159,1
ENO2,1.3717134271548026,7.2918104560173695,1
PEPD,5.017809789051024,5.385914850095924,0
PDIA4,5.8404101715788626,4.785882770358958,0
YBX3,6.519397181104267,4.825402382308422,0
HMGA1,2.934501323111706,5.379318837794499,0
RPL17,3.636356967091529,4.519693108905034,0
ACO1,6.899135135799164,5.656381757818049,0
MYL9,7.899150495069565,4.798583490384731,2
S100A11,4.3134948863652145,6.2007791315254,1
RPL29,3.1843961355381296,5.906837282759154,0
PXN,7.283520766728604,6.03438527182597,0
EIF3E,7.878704276839855,4.417710467980803,2
S100A10,4.422858870605215,5.43562748995716,0
TMSB4X,3.120507290575139,3.9492326103088415,0
RPL30,3.514381596876208,4.680388153771892,0
YBX1,5.1943722175779135,3.437821081714018,0
TPM4,4.960951732081488,5.442866937371135,0
BASP1,4.261984962601977,4.327772929978761,0
TAGLN,7.122757243023619,5.274359158347778,0
FKBP4,5.59162630223911,4.915301340581475,0
CKAP4,6.38939040121372,4.8622011826641405,0
LRP1,3.910324476940935,4.533171386787048,0
UBAP2L,4.683146464662496,5.093538251117544,0
DCTN1,4.049329295557762,4.619370389266121,0
SF3A1,0.4419009600052245,2.534675276641551,0
SEPTIN7,2.547390451532849,3.3982044311397686,0
TPM2,5.922368466598637,5.957849976704398,0
NUFIP2,4.324624491776375,5.523097740898162,0
HDGFL2,6.965113161392974,4.88324909234783,0
KTN1,4.084844944542288,4.169377089260331,0
DDX17,3.281321435495454,3.194531574096421,0
SMARCE1,5.076283650749704,4.5494645981651045,0
EIF3C,2.464508988645531,3.355467740031742,0
H2BC14,3.3149304233242103,4.2225508317470455,0
PFDN4,7.071776605122691,4.913634831020086,0
G3BP2,5.837353254718469,6.171950520109391,1
AKAP2,1.8293844619891098,3.9546696475050025,0
RBM8A,6.255275274011838,4.946108682832028,0
