,Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21
0,O15143,7.785,7.487,7.834,7.864,7.702,7.702,7.233,7.395,7.376,6.951,7.568
1,O43617,7.484,7.429,7.521,7.368,7.204,7.094,7.108,7.337,7.362,7.118,6.81
2,O60869,7.721,7.637,7.644,7.749,7.258,7.151,7.072,7.308,7.432,7.333,7.616
3,P02461,7.025,7.529,7.576,7.32,7.33,7.405,7.34,8.257,8.102,7.472,8.423
4,P02652,7.362,7.139,7.401,7.437,7.031,6.832,7.152,7.614,7.379,8.16,8.159
5,P04179,7.736,7.523,7.334,7.242,7.644,7.624,7.617,8.178,7.864,7.716,8.29
6,P06753,8.739,8.51,8.838,8.521,8.395,7.993,7.99,8.259,8.559,8.219,8.554
7,P09104,8.589,8.681,8.687,8.65,8.377,7.968,8.281,8.452,6.888,7.138,8.58
8,P13010,8.76,8.699,8.555,8.507,8.311,8.182,7.786,8.246,7.664,7.076,8.196
9,P13861,7.63,7.68,7.597,7.462,7.079,7.291,7.314,7.03,6.999,7.226,7.347
10,P27635,8.381,8.421,8.14,7.732,7.645,7.68,7.262,7.664,7.812,6.874,7.829
11,P27816,8.682,8.659,8.749,8.606,8.507,8.393,7.98,8.139,8.397,7.385,8.303
12,P37837,8.789,8.723,8.507,8.338,8.295,8.138,7.998,8.181,8.254,6.573,8.183
13,P43487,7.997,8.104,8.195,8.145,7.443,7.619,7.458,6.783,7.258,6.932,7.722
14,P46778,8.582,8.507,8.453,8.12,7.896,7.926,7.536,7.722,7.798,7.163,7.07
15,P49023,7.652,7.642,7.887,7.43,7.306,7.481,6.973,7.008,7.344,6.983,7.362
16,P53621,8.581,8.595,8.448,8.239,8.039,8.303,7.659,8.218,7.757,7.156,8.137
17,P60903,8.621,8.639,8.477,7.484,7.875,8.937,8.156,7.742,7.974,7.65,7.672
18,P61981,8.261,8.077,8.306,8.31,8.106,7.994,7.77,8.001,8.136,7.677,8.073
19,P62328,8.504,8.359,8.679,8.555,8.265,7.865,7.894,7.9,8.712,8.193,8.706
20,P62861,7.203,7.364,8.231,8.013,7.889,8.351,7.753,7.529,7.446,7.317,7.676
21,P62979,8.48,8.622,8.605,8.434,8.254,7.956,7.897,8.016,7.923,7.223,8.039
22,P63208,7.628,7.646,8.012,7.89,7.515,7.085,7.036,7.506,7.104,6.707,7.328
23,Q00341,8.642,8.577,8.512,8.309,8.28,7.887,8.091,8.228,8.25,6.915,8.267
24,Q01995,9.553,9.48,9.555,9.316,9.368,9.313,9.298,9.521,9.575,8.886,9.571
25,Q02218,7.121,6.953,6.959,6.809,6.848,6.899,6.769,7.249,7.443,7.042,7.211
26,Q02818,7.582,7.52,7.627,7.291,7.42,7.383,7.039,7.823,7.738,7.985,7.456
27,Q05682,9.216,9.065,9.207,9.02,9.056,8.745,8.671,8.929,9.202,8.927,9.252
28,Q07065,8.237,8.91,8.199,7.869,7.305,7.453,7.62,7.883,8.012,8.139,8.356
29,Q07954,7.709,7.272,7.64,7.122,6.91,6.921,6.874,7.591,7.431,7.713,7.582
30,Q13263,8.553,8.609,8.54,8.315,7.666,7.347,6.442,7.749,7.633,7.139,7.985
31,Q14011,7.341,7.376,7.607,7.506,7.614,7.14,7.198,6.99,7.414,7.142,7.61
32,Q14767,6.483,6.399,6.564,7.445,7.424,7.081,7.417,7.028,6.902,6.836,6.962
33,Q6P2Q9,8.026,8.094,7.903,7.079,6.928,7.468,7.186,7.367,6.908,7.078,6.799
34,Q7Z417,6.554,6.509,6.764,7.041,6.831,7.055,6.747,6.825,6.982,6.804,7.29
35,Q96HC4,8.55,8.515,8.645,8.472,8.324,7.862,8.02,8.104,8.46,7.479,8.308
36,Q99471,7.897,7.972,8.025,7.762,7.703,7.11,7.072,6.821,6.664,6.883,7.55
37,Q9UPN3,8.041,7.764,7.358,7.37,6.918,7.047,6.919,7.028,7.058,6.847,7.012
38,Q9UQ35,7.8,7.961,8.003,7.482,7.449,7.009,7.4,7.343,6.853,7.336,7.514
39,Q9Y3D6,7.082,7.332,7.218,7.333,7.15,7.134,7.388,7.301,7.415,7.608,7.166
